"ID","Cluster"
"20801","3"
"158023","3"
"190871","3"
"176580","2"
"167495","1"
"188545","3"
"193080","1"
"183277","3"
"182521","2"
"167664","3"
"155862","2"
"192985","2"
"192119","1"
"184941","2"
"177003","2"
"173731","2"
"153079","3"
"138956","2"
"1179","1"
"211110","3"
"200389","1"
"194765","3"
"189509","2"
"188567","3"
"184344","2"
"183907","2"
"182493","2"
"178603","2"
"176635","3"
"167948","1"
"164240","2"
"41236","3"
"9014","3"
"215914","2"
"199556","2"
"195864","2"
"190460","2"
"181872","2"
"179813","3"
"176676","2"
"171877","2"
"168651","2"
"168542","3"
"162835","1"
"152729","2"
"41","2"
"202126","2"
"198710","2"
"197781","2"
"197445","2"
"192505","3"
"191043","2"
"189596","2"
"189511","2"
"189242","3"
"188350","3"
"184087","2"
"179944","2"
"179844","3"
"178518","2"
"177610","2"
"175943","3"
"172879","2"
"168609","2"
"165153","3"
"162895","2"
"156616","3"
"120533","2"
"48940","1"
"208418","3"
"201535","2"
"201153","3"
"200145","2"
"198219","3"
"193747","2"
"193301","3"
"193041","1"
"192883","2"
"192593","1"
"192563","1"
"192448","1"
"190547","4"
"189332","2"
"186942","2"
"184432","2"
"183898","2"
"180206","2"
"173210","2"
"172871","2"
"170890","2"
"167628","1"
"164169","2"
"139720","2"
"137186","4"
"225508","2"
"220834","3"
"218667","2"
"212218","2"
"211117","2"
"208722","3"
"204963","2"
"202166","3"
"201399","3"
"201024","4"
"200316","1"
"192774","4"
"192227","2"
"191740","2"
"191202","2"
"189712","2"
"189505","3"
"189117","1"
"184120","2"
"181458","2"
"180930","3"
"180403","2"
"179846","2"
"179783","1"
"178750","1"
"178088","3"
"177509","4"
"167397","3"
"165229","2"
"164468","2"
"146530","2"
"143076","3"
"106231","2"
"231747","2"
"231443","3"
"220971","2"
"216460","4"
"215316","1"
"213565","2"
"212814","2"
"212190","4"
"210257","1"
"209658","2"
"209499","2"
"209331","2"
"208596","3"
"208448","3"
"207865","2"
"207566","2"
"205600","2"
"204485","3"
"203376","2"
"201942","2"
"200888","2"
"199715","3"
"199482","1"
"198176","4"
"198009","1"
"197061","2"
"193474","2"
"192629","3"
"192387","3"
"192366","2"
"191180","2"
"189513","2"
"189358","3"
"189125","2"
"189068","3"
"188377","2"
"188152","3"
"187936","2"
"186547","2"
"185239","2"
"185020","3"
"184826","2"
"184431","3"
"184144","3"
"181783","2"
"180819","2"
"179784","2"
"178562","2"
"178005","1"
"177683","1"
"177388","3"
"177358","2"
"176769","3"
"173771","2"
"170481","2"
"167905","2"
"163587","1"
"162240","2"
"161956","2"
"159147","2"
"158963","2"
"146748","1"
"146562","2"
"142754","2"
"139869","3"
"139068","3"
"53302","2"
"24630","1"
"20775","3"
"20289","2"
"5479","1"
"230621","1"
"222492","3"
"219809","2"
"219683","2"
"216594","3"
"216451","2"
"215785","3"
"213331","4"
"212404","3"
"212188","3"
"211575","2"
"211300","3"
"208808","3"
"208618","2"
"208421","2"
"207863","4"
"207664","3"
"207471","2"
"207410","2"
"206652","1"
"206545","2"
"205452","2"
"204970","3"
"204639","4"
"204525","2"
"204277","2"
"203551","2"
"203483","2"
"202857","3"
"202652","3"
"202651","3"
"202477","3"
"202335","2"
"201862","2"
"200949","2"
"200104","3"
"199845","2"
"199503","2"
"198164","2"
"197965","2"
"195093","3"
"194794","3"
"193698","1"
"193532","2"
"193469","2"
"193348","2"
"193082","2"
"190483","3"
"190456","2"
"189560","2"
"188942","2"
"188803","2"
"187754","2"
"187072","2"
"186627","3"
"186561","2"
"186153","1"
"184484","2"
"184267","3"
"184200","2"
"183711","2"
"183574","3"
"183497","1"
"183376","2"
"182494","1"
"181786","2"
"181291","2"
"179847","4"
"178509","3"
"178372","2"
"178224","3"
"177600","2"
"177457","2"
"177413","2"
"176600","3"
"174543","1"
"172723","1"
"171919","2"
"171833","3"
"169595","2"
"169416","3"
"168354","1"
"167431","2"
"165239","3"
"163824","4"
"163631","2"
"163489","1"
"162347","2"
"158121","1"
"157481","4"
"150724","1"
"150418","3"
"146760","2"
"144622","2"
"143745","2"
"135507","2"
"113422","3"
"108080","2"
"104389","1"
"231677","3"
"230666","3"
"227928","2"
"227055","3"
"222737","3"
"222028","2"
"220793","4"
"217699","2"
"216354","3"
"216352","2"
"216201","3"
"216194","2"
"213661","4"
"212622","2"
"211368","3"
"210935","3"
"210008","2"
"209889","2"
"208830","2"
"208670","2"
"207599","2"
"205498","2"
"203747","2"
"203042","1"
"202685","3"
"202371","2"
"201995","2"
"201400","2"
"200724","2"
"199987","1"
"199564","2"
"199451","3"
"199354","3"
"199189","2"
"198951","3"
"198717","3"
"198141","2"
"197853","2"
"197655","4"
"197242","2"
"195365","2"
"195086","4"
"193738","2"
"193525","2"
"193352","2"
"193165","3"
"192789","2"
"192638","2"
"192318","3"
"190941","1"
"190584","2"
"190149","2"
"189881","4"
"189461","2"
"189251","2"
"188988","3"
"188943","1"
"188388","3"
"188005","2"
"187961","2"
"185431","3"
"184942","2"
"183900","3"
"183498","2"
"183483","3"
"183285","4"
"183280","4"
"181820","3"
"180216","2"
"179645","2"
"178086","1"
"177326","3"
"173426","1"
"173198","4"
"172175","2"
"171897","2"
"171579","2"
"166706","4"
"163705","1"
"163264","1"
"161648","3"
"158625","2"
"153244","3"
"146954","2"
"142780","2"
"139997","2"
"121944","2"
"116494","1"
"110677","1"
"54050","2"
"53612","4"
"49370","2"
"49369","3"
"9676","3"
"223848","2"
"216393","2"
"215792","4"
"214997","3"
"213296","2"
"212831","1"
"212462","2"
"212194","3"
"211748","2"
"211320","4"
"210896","2"
"210617","3"
"210406","2"
"210243","2"
"210035","2"
"209297","2"
"208334","2"
"208333","2"
"208093","3"
"207993","2"
"207439","2"
"206585","1"
"206467","3"
"206413","2"
"206273","2"
"205976","3"
"205362","4"
"205192","2"
"204529","3"
"204082","4"
"203890","2"
"203888","4"
"203775","1"
"203486","3"
"203280","3"
"201510","2"
"201454","2"
"200647","3"
"200610","2"
"199914","2"
"199827","2"
"199434","3"
"199110","3"
"198950","3"
"198784","2"
"198118","2"
"196934","2"
"195861","2"
"194957","2"
"194879","3"
"194404","1"
"194229","2"
"193886","2"
"193361","2"
"193130","3"
"193116","2"
"193105","1"
"193061","2"
"192641","2"
"192492","3"
"192086","2"
"191687","2"
"190972","2"
"190815","2"
"190813","3"
"190717","2"
"190264","3"
"189574","2"
"189250","3"
"189156","2"
"188802","2"
"188253","2"
"187735","2"
"187688","3"
"187491","3"
"186146","3"
"185221","2"
"185132","2"
"184392","2"
"184190","4"
"184111","3"
"183909","3"
"182002","2"
"178416","3"
"178311","3"
"177644","1"
"177604","2"
"177458","2"
"176915","2"
"176733","3"
"176376","2"
"176104","2"
"175379","3"
"173909","2"
"173521","4"
"173432","2"
"173373","1"
"173221","2"
"173208","2"
"172522","2"
"170370","2"
"170368","2"
"169705","2"
"169195","2"
"168530","4"
"167553","2"
"167514","2"
"165536","4"
"165526","4"
"164859","3"
"164835","1"
"163155","1"
"162369","3"
"162329","2"
"158232","3"
"157960","2"
"156713","2"
"150516","3"
"146460","2"
"143587","2"
"140293","1"
"139968","1"
"139668","1"
"138449","3"
"138412","2"
"134744","2"
"124635","2"
"112316","2"
"111661","1"
"53914","2"
"50542","3"
"48717","1"
"21146","2"
"230977","2"
"230142","3"
"227476","3"
"225647","1"
"225018","2"
"224334","2"
"221660","2"
"221130","1"
"220440","4"
"218339","2"
"216150","2"
"215466","4"
"215259","3"
"215057","2"
"213345","3"
"213150","1"
"212886","2"
"212602","4"
"212523","2"
"212501","2"
"212150","3"
"211688","2"
"211381","3"
"211354","2"
"211256","2"
"210864","2"
"210514","2"
"210413","4"
"208777","2"
"208128","2"
"207948","3"
"207441","3"
"206511","2"
"206113","3"
"205988","2"
"205923","2"
"205678","3"
"205525","3"
"205407","2"
"205175","3"
"205069","2"
"204638","4"
"204523","2"
"204311","2"
"204024","2"
"203757","3"
"203574","2"
"202642","2"
"202556","3"
"201988","4"
"201956","2"
"201858","3"
"201533","3"
"201377","4"
"201305","2"
"201262","2"
"201118","2"
"201049","4"
"201046","3"
"201042","2"
"200641","3"
"200458","2"
"200454","3"
"199977","2"
"199952","3"
"199852","3"
"199602","3"
"199576","2"
"199561","3"
"199550","4"
"198683","3"
"198077","3"
"197948","2"
"195363","2"
"194911","1"
"194174","2"
"193887","3"
"193171","2"
"192679","2"
"192565","3"
"191210","2"
"190875","2"
"190778","1"
"190544","3"
"190286","3"
"190243","1"
"190223","2"
"189963","3"
"189575","3"
"189433","4"
"189271","2"
"189169","3"
"188955","3"
"188524","1"
"188428","3"
"187457","2"
"187347","2"
"187324","4"
"186307","3"
"186148","1"
"186132","2"
"185103","2"
"184949","2"
"184881","3"
"184477","4"
"184069","3"
"183899","3"
"183893","2"
"183855","4"
"183666","1"
"183108","2"
"181402","2"
"180334","4"
"178424","2"
"177723","1"
"177578","4"
"177519","2"
"177159","2"
"176993","3"
"176944","2"
"176731","2"
"176571","2"
"176550","1"
"176285","4"
"176266","2"
"173474","2"
"173306","2"
"172962","2"
"172316","2"
"172290","2"
"172114","3"
"171791","4"
"170797","2"
"170733","3"
"169596","4"
"169588","4"
"168435","1"
"168320","3"
"167943","2"
"166072","4"
"165501","2"
"165109","2"
"160741","2"
"159240","2"
"159171","3"
"159145","3"
"156519","2"
"148711","4"
"148122","4"
"148119","1"
"147782","2"
"147621","2"
"146482","2"
"146439","3"
"142902","1"
"142784","2"
"140233","1"
"139062","1"
"137809","3"
"137677","1"
"137351","2"
"135451","1"
"121933","1"
"52091","2"
"49031","1"
"45186","3"
"8473","2"
"6826","2"
"80","2"
"229909","1"
"228941","3"
"228687","3"
"227950","2"
"227796","3"
"227234","2"
"226753","1"
"225199","2"
"225028","2"
"223874","2"
"223627","3"
"223061","3"
"223033","4"
"222943","2"
"222558","2"
"222509","2"
"221992","3"
"221540","2"
"221087","1"
"219985","2"
"219932","3"
"219576","2"
"219411","3"
"217877","3"
"216778","4"
"216547","3"
"216497","3"
"216475","2"
"216189","2"
"216065","1"
"215353","3"
"215333","3"
"215061","3"
"215051","4"
"214977","2"
"213582","3"
"213400","2"
"213135","3"
"212977","2"
"212911","3"
"212230","3"
"212198","2"
"212153","2"
"211119","3"
"210930","3"
"210679","4"
"210333","3"
"210282","2"
"209997","4"
"209989","2"
"209307","1"
"208574","3"
"208450","2"
"208230","2"
"208135","2"
"207939","2"
"207877","3"
"207862","2"
"207494","2"
"206591","2"
"206225","2"
"206222","2"
"206198","4"
"205633","2"
"205569","2"
"205114","3"
"204923","3"
"204884","2"
"204838","3"
"204819","2"
"204240","1"
"204077","3"
"203980","3"
"203895","2"
"203627","2"
"203605","2"
"203535","2"
"203362","3"
"203106","2"
"202849","4"
"202648","2"
"202325","2"
"201878","3"
"201508","3"
"201505","2"
"201455","2"
"201325","1"
"201144","2"
"201143","2"
"201119","2"
"201095","1"
"201013","3"
"200798","1"
"200726","1"
"200529","2"
"200318","3"
"200215","2"
"199767","2"
"199626","2"
"199304","2"
"199069","3"
"199042","2"
"198706","3"
"198614","4"
"198584","2"
"198329","3"
"198140","2"
"197225","2"
"197083","2"
"196889","3"
"196432","2"
"196150","3"
"195671","3"
"194996","3"
"194932","3"
"194845","2"
"193601","4"
"193584","3"
"193283","2"
"192991","3"
"192984","1"
"192841","2"
"192722","3"
"192620","2"
"192557","2"
"192476","2"
"191032","3"
"190799","2"
"190531","4"
"190507","4"
"189682","4"
"189681","2"
"189606","2"
"189506","2"
"189423","2"
"189354","3"
"189296","1"
"189157","3"
"188879","2"
"188840","2"
"188829","2"
"188427","2"
"188268","3"
"188135","2"
"188103","2"
"187736","2"
"187702","2"
"187607","3"
"187366","2"
"187052","2"
"186832","2"
"186805","3"
"186581","2"
"186345","2"
"186302","2"
"186115","2"
"184134","2"
"183871","2"
"183568","4"
"183394","2"
"183332","3"
"183249","3"
"183125","3"
"182879","3"
"182862","2"
"182836","2"
"182744","2"
"181262","2"
"180826","3"
"180714","1"
"180283","2"
"178625","2"
"178322","2"
"178160","2"
"178085","2"
"178031","2"
"178007","2"
"177983","4"
"176930","2"
"176919","1"
"176619","3"
"175895","2"
"174549","2"
"172049","3"
"170815","2"
"170369","3"
"169706","2"
"147660","1"
"153296","2"
"124375","3"
"161754","2"
"169181","1"
"155887","2"
"164082","2"
"155897","3"
"160000","3"
"185090","3"
"195586","3"
"197891","3"
"220932","1"
"183556","4"
"200197","3"
"210950","3"
"188166","3"
"193290","3"
"231691","1"
"192012","2"
"146701","2"
"161805","2"
"205070","2"
"156432","3"
"52752","2"
"183569","3"
"202515","3"
"146963","2"
"205590","2"
"210455","2"
"181271","2"
"230168","1"
"184089","3"
"205850","3"
"230938","2"
"45595","4"
"205340","4"
"229148","2"
"109852","4"
"216349","3"
"225309","2"
"185373","2"
"139038","4"
"149791","3"
"230431","2"
"194079","2"
"198688","2"
"173857","1"
"232226","1"
"203299","3"
"172835","4"
"200228","4"
"212772","4"
"224293","2"
"210214","2"
"215079","2"
"230183","2"
"209960","1"
"160040","2"
"230184","2"
"226601","4"
"190761","2"
"144429","2"
"219693","2"
"201519","2"
"196143","3"
"200752","4"
"207920","2"
"197681","2"
"189234","2"
"204341","4"
"176949","3"
"198198","4"
"205878","1"
"175671","2"
"198200","2"
"214584","1"
"179768","2"
"181816","2"
"225850","4"
"198715","3"
"213051","2"
"214332","2"
"194365","2"
"150590","2"
"190014","3"
"198719","3"
"157503","2"
"172610","4"
"148803","3"
"200260","3"
"189508","2"
"204614","2"
"193862","4"
"179527","3"
"221000","2"
"186953","1"
"192073","2"
"154954","1"
"220746","3"
"212811","2"
"114764","1"
"179789","4"
"115533","1"
"191053","2"
"191565","3"
"192333","4"
"193869","4"
"185422","3"
"216655","4"
"210513","3"
"121170","3"
"190034","2"
"7763","2"
"219732","3"
"194644","2"
"160087","2"
"31831","2"
"204120","1"
"216409","3"
"153177","3"
"158810","2"
"183130","2"
"194138","3"
"207707","2"
"199005","1"
"5213","4"
"185181","1"
"216158","2"
"192350","3"
"205408","2"
"182882","2"
"202851","3"
"170597","1"
"142950","2"
"202087","2"
"148839","2"
"165735","1"
"182888","2"
"210537","3"
"219754","1"
"181098","2"
"228717","3"
"210287","3"
"172143","2"
"182896","2"
"201073","3"
"226161","2"
"214132","2"
"216692","1"
"216437","4"
"157301","3"
"198006","2"
"200054","2"
"105846","1"
"205943","2"
"188536","2"
"164985","3"
"213114","3"
"219258","4"
"225402","2"
"200315","3"
"230524","3"
"205693","3"
"230269","3"
"201342","4"
"16254","1"
"53630","2"
"140415","2"
"165247","1"
"212096","3"
"195202","2"
"217731","3"
"183427","2"
"208004","2"
"189060","2"
"193158","2"
"204935","1"
"180359","2"
"208008","3"
"205705","4"
"225161","4"
"188041","2"
"146059","2"
"172684","1"
"184716","2"
"205966","3"
"220814","4"
"194958","2"
"199823","2"
"177553","2"
"7826","3"
"216466","2"
"161938","3"
"215699","2"
"2196","1"
"210324","3"
"184469","2"
"229270","2"
"230294","3"
"175254","2"
"202135","2"
"226456","2"
"199577","4"
"194201","4"
"148123","4"
"228251","2"
"169115","4"
"189595","2"
"192667","2"
"112542","2"
"183966","2"
"160161","3"
"177569","2"
"182945","3"
"158626","2"
"159906","1"
"183714","3"
"13732","4"
"201893","2"
"162981","2"
"213160","2"
"171688","2"
"204713","2"
"186537","2"
"159914","2"
"205995","2"
"152747","3"
"159915","2"
"172203","1"
"178091","3"
"210862","4"
"136113","4"
"207537","2"
"163761","4"
"186801","2"
"193714","4"
"184501","2"
"202935","4"
"153275","1"
"198076","2"
"164029","3"
"196801","2"
"149185","2"
"201922","2"
"213955","3"
"221125","3"
"205510","2"
"216774","4"
"221639","3"
"172233","2"
"208330","3"
"216266","2"
"224458","2"
"192202","2"
"233419","3"
"187084","2"
"188876","2"
"187598","2"
"189390","2"
"184271","2"
"198352","4"
"227536","3"
"190674","2"
"209620","2"
"212692","3"
"151508","2"
"230613","2"
"230360","2"
"183256","2"
"183512","2"
"202201","2"
"203485","2"
"186589","2"
"163806","1"
"183518","3"
"182495","2"
"198113","2"
"157665","4"
"189410","2"
"204259","2"
"226790","2"
"173030","2"
"226537","3"
"152554","2"
"159978","3"
"210411","3"
"189165","2"
"178415","2"
"186351","2"
"172018","4"
"199667","2"
"193011","4"
"183284","2"
"199158","2"
"188154","2"
"188155","2"
"190971","2"
"168444","3"
"234236","3"
"220925","2"
"199422","2"
"160766","3"
"169214","3"
"201215","2"
"203263","4"
"219391","2"
"184575","3"
"169216","3"
"204289","3"
"161793","3"
"177666","3"
"177922","3"
"229636","3"
"236295","4"
"160009","1"
"176137","3"
"139274","4"
"187659","2"
"213516","3"
"160012","1"
"160013","1"
"189709","4"
"200206","3"
"229391","2"
"216336","1"
"177937","4"
"229906","3"
"45842","4"
"52498","2"
"204307","2"
"195859","3"
"200469","2"
"207894","2"
"236311","2"
"214040","2"
"192537","3"
"186650","3"
"210972","2"
"183580","3"
"148253","2"
"215069","1"
"189725","2"
"138782","2"
"226592","2"
"205601","3"
"160033","2"
"195361","2"
"179746","3"
"185122","1"
"187939","3"
"190756","4"
"178213","2"
"223273","2"
"184873","4"
"189225","3"
"224811","4"
"189484","2"
"205869","3"
"174381","2"
"190765","2"
"137262","3"
"138798","1"
"196142","3"
"152879","2"
"221743","3"
"210736","2"
"186672","2"
"197937","4"
"139313","2"
"227633","2"
"183346","2"
"160051","4"
"196147","2"
"207412","2"
"166708","3"
"208949","3"
"230453","2"
"160310","2"
"212023","3"
"139064","2"
"181560","4"
"190520","2"
"199737","3"
"138810","3"
"193338","3"
"206651","2"
"200765","2"
"220477","4"
"135742","4"
"147006","3"
"172862","2"
"183870","3"
"199487","4"
"215103","3"
"219455","3"
"205632","2"
"219712","2"
"169792","3"
"202562","2"
"215107","3"
"216388","3"
"230212","4"
"224069","3"
"204102","2"
"181318","2"
"177481","2"
"226378","3"
"178250","2"
"226379","1"
"183883","3"
"185163","4"
"202316","2"
"202828","2"
"230988","3"
"201549","3"
"202061","2"
"214605","2"
"229453","3"
"204366","3"
"219470","2"
"232270","2"
"204367","1"
"205391","2"
"158543","3"
"163407","2"
"170320","2"
"230481","3"
"186961","3"
"223058","2"
"207444","3"
"209236","2"
"152916","2"
"183892","2"
"186452","2"
"186197","3"
"230230","2"
"212823","3"
"166744","1"
"186200","3"
"186456","2"
"194904","1"
"183129","2"
"205402","3"
"230234","2"
"173146","2"
"188506","3"
"189018","2"
"19292","4"
"202078","2"
"188768","2"
"47201","1"
"188770","3"
"171875","2"
"189795","2"
"206436","2"
"160101","2"
"182629","1"
"192613","1"
"211302","3"
"230502","3"
"192358","1"
"179560","3"
"161644","4"
"178284","3"
"176237","3"
"189805","3"
"203886","2"
"226414","3"
"197231","3"
"230767","2"
"190576","4"
"208498","3"
"230258","2"
"165490","2"
"171378","2"
"224883","3"
"189043","2"
"207732","3"
"224116","3"
"177525","2"
"142966","2"
"209782","3"
"198264","3"
"146296","1"
"225144","3"
"177528","3"
"215930","2"
"192122","2"
"177019","4"
"197756","3"
"137854","1"
"212350","3"
"160126","3"
"110974","1"
"203903","3"
"225663","2"
"230271","3"
"193152","1"
"183937","2"
"216706","2"
"164994","2"
"178051","2"
"194947","4"
"201860","4"
"202884","2"
"203910","3"
"190854","2"
"220295","3"
"169607","2"
"208520","2"
"182152","2"
"192904","4"
"168585","2"
"176009","2"
"224394","2"
"213899","4"
"193420","2"
"215181","2"
"188045","3"
"212878","3"
"213134","2"
"221838","2"
"212623","2"
"137361","3"
"160145","3"
"204691","2"
"183187","3"
"216468","3"
"173204","2"
"190868","2"
"199829","2"
"222357","3"
"199574","1"
"211862","2"
"208535","2"
"210583","2"
"182168","4"
"187800","2"
"212889","4"
"225945","2"
"186521","4"
"165531","2"
"194203","4"
"201884","2"
"212125","3"
"182941","4"
"193440","2"
"152993","4"
"182179","4"
"134820","2"
"152997","3"
"223142","4"
"208295","2"
"184999","2"
"230312","1"
"234153","2"
"202410","1"
"214955","2"
"216749","3"
"226221","4"
"230317","1"
"220334","3"
"230318","1"
"194222","4"
"207791","3"
"189615","2"
"185010","2"
"187570","1"
"219571","2"
"221363","2"
"211124","3"
"197813","2"
"198581","4"
"171189","4"
"220854","2"
"213432","3"
"178616","2"
"182713","4"
"158138","3"
"211899","3"
