"ID","Cluster"
"20801","2"
"158023","2"
"190871","2"
"176580","2"
"167495","4"
"188545","2"
"193080","4"
"183277","2"
"182521","2"
"167664","1"
"155862","2"
"192985","2"
"192119","4"
"184941","2"
"177003","2"
"173731","2"
"153079","2"
"138956","2"
"1179","4"
"211110","2"
"200389","4"
"194765","2"
"189509","2"
"188567","2"
"184344","2"
"183907","2"
"182493","2"
"178603","2"
"176635","2"
"167948","4"
"164240","2"
"41236","2"
"9014","2"
"215914","2"
"199556","2"
"195864","2"
"190460","2"
"181872","2"
"179813","2"
"176676","2"
"171877","2"
"168651","2"
"168542","2"
"162835","4"
"152729","2"
"41","2"
"202126","2"
"198710","2"
"197781","2"
"197445","2"
"192505","2"
"191043","2"
"189596","2"
"189511","2"
"189242","2"
"188350","2"
"184087","2"
"179944","2"
"179844","2"
"178518","2"
"177610","2"
"175943","2"
"172879","2"
"168609","2"
"165153","1"
"162895","2"
"156616","2"
"120533","2"
"48940","4"
"208418","2"
"201535","2"
"201153","1"
"200145","2"
"198219","2"
"193747","2"
"193301","2"
"193041","4"
"192883","2"
"192593","4"
"192563","4"
"192448","4"
"190547","3"
"189332","2"
"186942","2"
"184432","2"
"183898","2"
"180206","2"
"173210","2"
"172871","2"
"170890","2"
"167628","4"
"164169","2"
"139720","2"
"137186","2"
"225508","2"
"220834","2"
"218667","2"
"212218","2"
"211117","2"
"208722","2"
"204963","2"
"202166","2"
"201399","1"
"201024","3"
"200316","4"
"192774","3"
"192227","2"
"191740","2"
"191202","2"
"189712","2"
"189505","2"
"189117","4"
"184120","2"
"181458","2"
"180930","2"
"180403","2"
"179846","2"
"179783","4"
"178750","4"
"178088","2"
"177509","2"
"167397","2"
"165229","2"
"164468","2"
"146530","2"
"143076","2"
"106231","2"
"231747","2"
"231443","2"
"220971","2"
"216460","3"
"215316","4"
"213565","2"
"212814","2"
"212190","3"
"210257","4"
"209658","2"
"209499","2"
"209331","2"
"208596","1"
"208448","2"
"207865","2"
"207566","2"
"205600","2"
"204485","2"
"203376","2"
"201942","2"
"200888","2"
"199715","2"
"199482","4"
"198176","2"
"198009","4"
"197061","2"
"193474","2"
"192629","2"
"192387","2"
"192366","2"
"191180","2"
"189513","2"
"189358","2"
"189125","2"
"189068","2"
"188377","2"
"188152","2"
"187936","2"
"186547","2"
"185239","2"
"185020","2"
"184826","2"
"184431","2"
"184144","2"
"181783","2"
"180819","2"
"179784","2"
"178562","2"
"178005","4"
"177683","4"
"177388","2"
"177358","2"
"176769","2"
"173771","2"
"170481","2"
"167905","2"
"163587","4"
"162240","2"
"161956","2"
"159147","2"
"158963","2"
"146748","4"
"146562","2"
"142754","2"
"139869","2"
"139068","2"
"53302","2"
"24630","4"
"20775","1"
"20289","2"
"5479","4"
"230621","4"
"222492","2"
"219809","2"
"219683","2"
"216594","2"
"216451","2"
"215785","2"
"213331","2"
"212404","2"
"212188","2"
"211575","2"
"211300","2"
"208808","2"
"208618","2"
"208421","2"
"207863","2"
"207664","1"
"207471","2"
"207410","2"
"206652","4"
"206545","2"
"205452","2"
"204970","2"
"204639","2"
"204525","2"
"204277","2"
"203551","2"
"203483","2"
"202857","2"
"202652","2"
"202651","1"
"202477","2"
"202335","2"
"201862","2"
"200949","2"
"200104","2"
"199845","2"
"199503","2"
"198164","2"
"197965","2"
"195093","2"
"194794","2"
"193698","4"
"193532","2"
"193469","2"
"193348","2"
"193082","2"
"190483","2"
"190456","2"
"189560","2"
"188942","2"
"188803","2"
"187754","2"
"187072","2"
"186627","1"
"186561","2"
"186153","4"
"184484","2"
"184267","2"
"184200","2"
"183711","2"
"183574","2"
"183497","4"
"183376","2"
"182494","4"
"181786","2"
"181291","2"
"179847","2"
"178509","2"
"178372","2"
"178224","1"
"177600","2"
"177457","2"
"177413","2"
"176600","2"
"174543","4"
"172723","4"
"171919","2"
"171833","1"
"169595","2"
"169416","2"
"168354","4"
"167431","2"
"165239","2"
"163824","2"
"163631","2"
"163489","4"
"162347","2"
"158121","4"
"157481","2"
"150724","4"
"150418","1"
"146760","2"
"144622","2"
"143745","2"
"135507","2"
"113422","2"
"108080","2"
"104389","4"
"231677","2"
"230666","2"
"227928","2"
"227055","2"
"222737","2"
"222028","2"
"220793","2"
"217699","2"
"216354","1"
"216352","2"
"216201","2"
"216194","2"
"213661","2"
"212622","2"
"211368","2"
"210935","2"
"210008","2"
"209889","2"
"208830","2"
"208670","2"
"207599","2"
"205498","2"
"203747","2"
"203042","4"
"202685","2"
"202371","2"
"201995","2"
"201400","2"
"200724","2"
"199987","4"
"199564","2"
"199451","2"
"199354","2"
"199189","2"
"198951","2"
"198717","2"
"198141","2"
"197853","2"
"197655","2"
"197242","2"
"195365","2"
"195086","2"
"193738","2"
"193525","2"
"193352","2"
"193165","2"
"192789","2"
"192638","2"
"192318","2"
"190941","4"
"190584","2"
"190149","2"
"189881","2"
"189461","2"
"189251","2"
"188988","2"
"188943","4"
"188388","2"
"188005","2"
"187961","2"
"185431","2"
"184942","2"
"183900","2"
"183498","2"
"183483","1"
"183285","2"
"183280","3"
"181820","2"
"180216","2"
"179645","2"
"178086","4"
"177326","2"
"173426","4"
"173198","2"
"172175","2"
"171897","2"
"171579","2"
"166706","3"
"163705","4"
"163264","4"
"161648","2"
"158625","2"
"153244","2"
"146954","2"
"142780","2"
"139997","2"
"121944","2"
"116494","4"
"110677","4"
"54050","2"
"53612","3"
"49370","2"
"49369","1"
"9676","2"
"223848","2"
"216393","2"
"215792","2"
"214997","2"
"213296","2"
"212831","4"
"212462","2"
"212194","1"
"211748","2"
"211320","2"
"210896","2"
"210617","2"
"210406","2"
"210243","2"
"210035","2"
"209297","2"
"208334","2"
"208333","2"
"208093","2"
"207993","2"
"207439","2"
"206585","4"
"206467","2"
"206413","2"
"206273","2"
"205976","1"
"205362","2"
"205192","2"
"204529","1"
"204082","2"
"203890","2"
"203888","3"
"203775","4"
"203486","2"
"203280","2"
"201510","2"
"201454","2"
"200647","2"
"200610","2"
"199914","2"
"199827","2"
"199434","2"
"199110","1"
"198950","1"
"198784","2"
"198118","2"
"196934","2"
"195861","2"
"194957","2"
"194879","2"
"194404","4"
"194229","2"
"193886","2"
"193361","2"
"193130","2"
"193116","2"
"193105","4"
"193061","2"
"192641","2"
"192492","2"
"192086","2"
"191687","2"
"190972","2"
"190815","2"
"190813","2"
"190717","2"
"190264","2"
"189574","2"
"189250","1"
"189156","2"
"188802","2"
"188253","2"
"187735","2"
"187688","2"
"187491","2"
"186146","2"
"185221","2"
"185132","2"
"184392","2"
"184190","3"
"184111","1"
"183909","2"
"182002","2"
"178416","2"
"178311","1"
"177644","4"
"177604","2"
"177458","2"
"176915","2"
"176733","1"
"176376","2"
"176104","2"
"175379","2"
"173909","2"
"173521","2"
"173432","2"
"173373","4"
"173221","2"
"173208","2"
"172522","2"
"170370","2"
"170368","2"
"169705","2"
"169195","2"
"168530","3"
"167553","2"
"167514","2"
"165536","3"
"165526","3"
"164859","2"
"164835","4"
"163155","4"
"162369","1"
"162329","2"
"158232","2"
"157960","2"
"156713","2"
"150516","2"
"146460","2"
"143587","2"
"140293","4"
"139968","4"
"139668","4"
"138449","1"
"138412","2"
"134744","2"
"124635","2"
"112316","2"
"111661","4"
"53914","2"
"50542","1"
"48717","4"
"21146","2"
"230977","2"
"230142","2"
"227476","2"
"225647","4"
"225018","2"
"224334","2"
"221660","2"
"221130","4"
"220440","2"
"218339","2"
"216150","2"
"215466","3"
"215259","2"
"215057","2"
"213345","1"
"213150","4"
"212886","2"
"212602","2"
"212523","2"
"212501","2"
"212150","2"
"211688","2"
"211381","1"
"211354","2"
"211256","2"
"210864","2"
"210514","2"
"210413","2"
"208777","2"
"208128","2"
"207948","2"
"207441","2"
"206511","2"
"206113","2"
"205988","2"
"205923","2"
"205678","2"
"205525","2"
"205407","2"
"205175","1"
"205069","2"
"204638","3"
"204523","2"
"204311","2"
"204024","2"
"203757","1"
"203574","2"
"202642","2"
"202556","2"
"201988","3"
"201956","2"
"201858","2"
"201533","1"
"201377","2"
"201305","2"
"201262","2"
"201118","2"
"201049","3"
"201046","2"
"201042","2"
"200641","2"
"200458","2"
"200454","1"
"199977","2"
"199952","2"
"199852","2"
"199602","1"
"199576","2"
"199561","2"
"199550","2"
"198683","1"
"198077","2"
"197948","2"
"195363","2"
"194911","4"
"194174","2"
"193887","2"
"193171","2"
"192679","2"
"192565","2"
"191210","2"
"190875","2"
"190778","4"
"190544","2"
"190286","1"
"190243","4"
"190223","2"
"189963","2"
"189575","2"
"189433","3"
"189271","2"
"189169","1"
"188955","2"
"188524","4"
"188428","2"
"187457","2"
"187347","2"
"187324","2"
"186307","2"
"186148","4"
"186132","2"
"185103","2"
"184949","2"
"184881","2"
"184477","3"
"184069","1"
"183899","2"
"183893","2"
"183855","2"
"183666","4"
"183108","2"
"181402","2"
"180334","2"
"178424","2"
"177723","4"
"177578","3"
"177519","2"
"177159","2"
"176993","1"
"176944","2"
"176731","2"
"176571","2"
"176550","4"
"176285","2"
"176266","2"
"173474","2"
"173306","2"
"172962","2"
"172316","2"
"172290","2"
"172114","2"
"171791","3"
"170797","2"
"170733","2"
"169596","3"
"169588","2"
"168435","4"
"168320","2"
"167943","2"
"166072","3"
"165501","2"
"165109","2"
"160741","2"
"159240","2"
"159171","2"
"159145","2"
"156519","2"
"148711","3"
"148122","3"
"148119","4"
"147782","2"
"147621","2"
"146482","2"
"146439","2"
"142902","4"
"142784","2"
"140233","4"
"139062","4"
"137809","2"
"137677","4"
"137351","2"
"135451","4"
"121933","4"
"52091","2"
"49031","4"
"45186","2"
"8473","2"
"6826","2"
"80","2"
"229909","4"
"228941","2"
"228687","1"
"227950","2"
"227796","2"
"227234","2"
"226753","4"
"225199","2"
"225028","2"
"223874","2"
"223627","2"
"223061","2"
"223033","3"
"222943","2"
"222558","2"
"222509","2"
"221992","2"
"221540","2"
"221087","4"
"219985","2"
"219932","1"
"219576","2"
"219411","1"
"217877","1"
"216778","2"
"216547","2"
"216497","2"
"216475","2"
"216189","2"
"216065","4"
"215353","1"
"215333","1"
"215061","1"
"215051","2"
"214977","2"
"213582","2"
"213400","2"
"213135","2"
"212977","2"
"212911","1"
"212230","2"
"212198","2"
"212153","2"
"211119","2"
"210930","2"
"210679","2"
"210333","2"
"210282","2"
"209997","2"
"209989","2"
"209307","4"
"208574","2"
"208450","2"
"208230","2"
"208135","2"
"207939","2"
"207877","1"
"207862","2"
"207494","2"
"206591","2"
"206225","2"
"206222","2"
"206198","2"
"205633","2"
"205569","2"
"205114","2"
"204923","2"
"204884","2"
"204838","2"
"204819","2"
"204240","4"
"204077","1"
"203980","2"
"203895","2"
"203627","2"
"203605","2"
"203535","2"
"203362","2"
"203106","2"
"202849","2"
"202648","2"
"202325","2"
"201878","2"
"201508","2"
"201505","2"
"201455","2"
"201325","4"
"201144","2"
"201143","2"
"201119","2"
"201095","4"
"201013","1"
"200798","4"
"200726","4"
"200529","2"
"200318","2"
"200215","2"
"199767","2"
"199626","2"
"199304","2"
"199069","1"
"199042","2"
"198706","1"
"198614","3"
"198584","2"
"198329","2"
"198140","2"
"197225","2"
"197083","2"
"196889","2"
"196432","2"
"196150","1"
"195671","1"
"194996","1"
"194932","2"
"194845","2"
"193601","2"
"193584","1"
"193283","2"
"192991","1"
"192984","4"
"192841","2"
"192722","2"
"192620","2"
"192557","2"
"192476","2"
"191032","2"
"190799","2"
"190531","3"
"190507","3"
"189682","2"
"189681","2"
"189606","2"
"189506","2"
"189423","2"
"189354","2"
"189296","4"
"189157","2"
"188879","2"
"188840","2"
"188829","2"
"188427","2"
"188268","2"
"188135","2"
"188103","2"
"187736","2"
"187702","2"
"187607","1"
"187366","2"
"187052","2"
"186832","2"
"186805","1"
"186581","2"
"186345","2"
"186302","2"
"186115","2"
"184134","2"
"183871","2"
"183568","3"
"183394","2"
"183332","2"
"183249","2"
"183125","2"
"182879","1"
"182862","2"
"182836","2"
"182744","2"
"181262","2"
"180826","1"
"180714","4"
"180283","2"
"178625","2"
"178322","2"
"178160","2"
"178085","2"
"178031","2"
"178007","2"
"177983","3"
"176930","2"
"176919","4"
"176619","2"
"175895","2"
"174549","2"
"172049","2"
"170815","2"
"170369","1"
"169706","2"
"147660","4"
"153296","2"
"124375","1"
"161754","2"
"169181","4"
"155887","2"
"164082","2"
"155897","2"
"160000","1"
"185090","1"
"195586","1"
"197891","1"
"220932","4"
"183556","3"
"200197","1"
"210950","2"
"188166","2"
"193290","2"
"231691","4"
"192012","2"
"146701","2"
"161805","2"
"205070","2"
"156432","2"
"52752","2"
"183569","2"
"202515","1"
"146963","2"
"205590","2"
"210455","2"
"181271","2"
"230168","4"
"184089","2"
"205850","1"
"230938","2"
"45595","3"
"205340","3"
"229148","2"
"109852","3"
"216349","1"
"225309","2"
"185373","2"
"139038","3"
"149791","2"
"230431","2"
"194079","2"
"198688","2"
"173857","4"
"232226","4"
"203299","2"
"172835","3"
"200228","3"
"212772","3"
"224293","2"
"210214","2"
"215079","2"
"230183","2"
"209960","4"
"160040","2"
"230184","2"
"226601","3"
"190761","2"
"144429","2"
"219693","2"
"201519","2"
"196143","2"
"200752","3"
"207920","2"
"197681","2"
"189234","2"
"204341","2"
"176949","2"
"198198","2"
"205878","4"
"175671","3"
"198200","2"
"214584","4"
"179768","2"
"181816","2"
"225850","2"
"198715","1"
"213051","2"
"214332","2"
"194365","2"
"150590","2"
"190014","2"
"198719","1"
"157503","2"
"172610","3"
"148803","1"
"200260","2"
"189508","2"
"204614","2"
"193862","3"
"179527","1"
"221000","2"
"186953","4"
"192073","2"
"154954","4"
"220746","1"
"212811","2"
"114764","4"
"179789","3"
"115533","4"
"191053","2"
"191565","2"
"192333","2"
"193869","2"
"185422","1"
"216655","3"
"210513","1"
"121170","2"
"190034","2"
"7763","2"
"219732","2"
"194644","2"
"160087","2"
"31831","2"
"204120","4"
"216409","1"
"153177","2"
"158810","2"
"183130","2"
"194138","1"
"207707","2"
"199005","4"
"5213","3"
"185181","4"
"216158","2"
"192350","2"
"205408","2"
"182882","2"
"202851","1"
"170597","4"
"142950","2"
"202087","2"
"148839","2"
"165735","4"
"182888","2"
"210537","2"
"219754","4"
"181098","2"
"228717","2"
"210287","2"
"172143","2"
"182896","2"
"201073","2"
"226161","2"
"214132","2"
"216692","4"
"216437","3"
"157301","2"
"198006","2"
"200054","2"
"105846","4"
"205943","2"
"188536","2"
"164985","1"
"213114","1"
"219258","3"
"225402","2"
"200315","1"
"230524","1"
"205693","1"
"230269","1"
"201342","2"
"16254","4"
"53630","2"
"140415","2"
"165247","4"
"212096","2"
"195202","2"
"217731","1"
"183427","2"
"208004","2"
"189060","2"
"193158","2"
"204935","4"
"180359","2"
"208008","2"
"205705","2"
"225161","2"
"188041","2"
"146059","2"
"172684","4"
"184716","2"
"205966","1"
"220814","3"
"194958","2"
"199823","2"
"177553","2"
"7826","2"
"216466","2"
"161938","1"
"215699","2"
"2196","4"
"210324","2"
"184469","2"
"229270","2"
"230294","1"
"175254","2"
"202135","2"
"226456","2"
"199577","2"
"194201","2"
"148123","3"
"228251","2"
"169115","3"
"189595","2"
"192667","2"
"112542","2"
"183966","2"
"160161","1"
"177569","2"
"182945","2"
"158626","2"
"159906","4"
"183714","1"
"13732","3"
"201893","2"
"162981","2"
"213160","2"
"171688","2"
"204713","2"
"186537","2"
"159914","2"
"205995","2"
"152747","2"
"159915","2"
"172203","4"
"178091","1"
"210862","3"
"136113","3"
"207537","2"
"163761","3"
"186801","2"
"193714","2"
"184501","2"
"202935","3"
"153275","4"
"198076","2"
"164029","1"
"196801","2"
"149185","2"
"201922","2"
"213955","2"
"221125","1"
"205510","2"
"216774","2"
"221639","1"
"172233","2"
"208330","1"
"216266","2"
"224458","2"
"192202","2"
"233419","1"
"187084","2"
"188876","2"
"187598","2"
"189390","2"
"184271","2"
"198352","3"
"227536","1"
"190674","2"
"209620","2"
"212692","1"
"151508","2"
"230613","2"
"230360","2"
"183256","2"
"183512","2"
"202201","2"
"203485","2"
"186589","2"
"163806","4"
"183518","2"
"182495","2"
"198113","2"
"157665","3"
"189410","2"
"204259","2"
"226790","2"
"173030","2"
"226537","1"
"152554","2"
"159978","1"
"210411","2"
"189165","2"
"178415","2"
"186351","2"
"172018","2"
"199667","2"
"193011","3"
"183284","2"
"199158","2"
"188154","2"
"188155","2"
"190971","2"
"168444","2"
"234236","1"
"220925","2"
"199422","2"
"160766","1"
"169214","2"
"201215","2"
"203263","2"
"219391","2"
"184575","2"
"169216","2"
"204289","1"
"161793","2"
"177666","2"
"177922","2"
"229636","2"
"236295","2"
"160009","4"
"176137","2"
"139274","3"
"187659","2"
"213516","1"
"160012","4"
"160013","4"
"189709","3"
"200206","1"
"229391","2"
"216336","4"
"177937","2"
"229906","1"
"45842","3"
"52498","2"
"204307","2"
"195859","2"
"200469","2"
"207894","2"
"236311","2"
"214040","2"
"192537","2"
"186650","1"
"210972","2"
"183580","1"
"148253","2"
"215069","4"
"189725","2"
"138782","2"
"226592","2"
"205601","2"
"160033","2"
"195361","2"
"179746","2"
"185122","4"
"187939","1"
"190756","3"
"178213","2"
"223273","2"
"184873","3"
"189225","2"
"224811","2"
"189484","2"
"205869","1"
"174381","2"
"190765","2"
"137262","2"
"138798","4"
"196142","2"
"152879","2"
"221743","1"
"210736","2"
"186672","2"
"197937","2"
"139313","2"
"227633","2"
"183346","2"
"160051","3"
"196147","2"
"207412","2"
"166708","2"
"208949","2"
"230453","2"
"160310","2"
"212023","2"
"139064","2"
"181560","2"
"190520","2"
"199737","1"
"138810","1"
"193338","1"
"206651","2"
"200765","2"
"220477","3"
"135742","2"
"147006","2"
"172862","2"
"183870","2"
"199487","2"
"215103","2"
"219455","2"
"205632","2"
"219712","2"
"169792","2"
"202562","2"
"215107","2"
"216388","1"
"230212","3"
"224069","1"
"204102","2"
"181318","2"
"177481","2"
"226378","1"
"178250","2"
"226379","4"
"183883","2"
"185163","3"
"202316","2"
"202828","2"
"230988","2"
"201549","1"
"202061","2"
"214605","2"
"229453","2"
"204366","2"
"219470","2"
"232270","2"
"204367","4"
"205391","2"
"158543","2"
"163407","2"
"170320","2"
"230481","2"
"186961","1"
"223058","2"
"207444","2"
"209236","2"
"152916","2"
"183892","2"
"186452","2"
"186197","2"
"230230","2"
"212823","1"
"166744","4"
"186200","1"
"186456","2"
"194904","4"
"183129","2"
"205402","1"
"230234","2"
"173146","2"
"188506","1"
"189018","2"
"19292","3"
"202078","2"
"188768","2"
"47201","4"
"188770","2"
"171875","2"
"189795","2"
"206436","2"
"160101","2"
"182629","4"
"192613","4"
"211302","1"
"230502","1"
"192358","4"
"179560","1"
"161644","2"
"178284","2"
"176237","1"
"189805","2"
"203886","2"
"226414","2"
"197231","1"
"230767","2"
"190576","3"
"208498","1"
"230258","2"
"165490","2"
"171378","2"
"224883","2"
"189043","2"
"207732","1"
"224116","1"
"177525","2"
"142966","2"
"209782","2"
"198264","1"
"146296","4"
"225144","1"
"177528","1"
"215930","2"
"192122","2"
"177019","2"
"197756","2"
"137854","4"
"212350","1"
"160126","2"
"110974","4"
"203903","2"
"225663","2"
"230271","1"
"193152","4"
"183937","2"
"216706","2"
"164994","2"
"178051","2"
"194947","3"
"201860","3"
"202884","2"
"203910","1"
"190854","2"
"220295","2"
"169607","2"
"208520","2"
"182152","2"
"192904","2"
"168585","2"
"176009","2"
"224394","2"
"213899","2"
"193420","2"
"215181","2"
"188045","2"
"212878","1"
"213134","2"
"221838","2"
"212623","2"
"137361","1"
"160145","1"
"204691","2"
"183187","2"
"216468","2"
"173204","2"
"190868","2"
"199829","2"
"222357","2"
"199574","4"
"211862","2"
"208535","2"
"210583","2"
"182168","3"
"187800","2"
"212889","2"
"225945","2"
"186521","3"
"165531","2"
"194203","2"
"201884","2"
"212125","2"
"182941","2"
"193440","2"
"152993","3"
"182179","3"
"134820","2"
"152997","1"
"223142","3"
"208295","2"
"184999","2"
"230312","4"
"234153","2"
"202410","4"
"214955","2"
"216749","2"
"226221","2"
"230317","4"
"220334","1"
"230318","4"
"194222","3"
"207791","2"
"189615","2"
"185010","2"
"187570","4"
"219571","2"
"221363","2"
"211124","2"
"197813","2"
"198581","3"
"171189","3"
"220854","2"
"213432","1"
"178616","2"
"182713","3"
"158138","2"
"211899","1"
"205756","2"
"215998","2"
"193470","2"
"124607","2"
"193983","1"
"231361","3"
"137410","3"
"159938","3"
"187075","1"
"210372","1"
"192708","2"
"193476","2"
"202695","2"
"190919","2"
"204233","1"
"146377","2"
"209610","2"
"135883","2"
"230347","2"
"162508","2"
"198861","2"
"203213","3"
"210126","2"
"226766","1"
"223695","2"
"159952","2"
"199633","2"
"3281","2"
"210897","2"
"231633","3"
"159954","2"
"201939","2"
"189908","4"
"192725","2"
"223959","2"
"197081","2"
"229593","1"
"5594","4"
"212442","4"
"224218","1"
"216796","2"
"7647","3"
"206304","2"
"199393","2"
"159970","2"
"228579","2"
"199652","2"
"163301","4"
"158438","2"
"194022","2"
"208615","2"
"175847","2"
"212456","2"
"196073","1"
"206058","2"
"219626","2"
"148203","4"
"230379","3"
"235243","2"
"202476","2"
"208620","2"
"214766","3"
"177390","2"
"188654","3"
"199151","1"
"216816","1"
"179696","2"
"198129","2"
"179954","4"
"225523","2"
"212212","2"
"167669","2"
"198648","2"
"199416","2"
"187896","1"
"189945","2"
"204538","1"
"211706","2"
"193786","4"
"222715","2"
"172283","2"
"156412","4"
"187132","2"
"197117","1"
"202493","2"
"217085","2"
"205566","2"
"220414","2"
"176894","2"
"192766","2"
"198143","1"
"768","3"
"216320","2"
"212225","2"
"197890","3"
"215042","1"
"179972","1"
"209669","2"
"217605","2"
"189701","2"
"172294","3"
"219911","3"
"146952","4"
"230408","2"
"172553","4"
"204555","2"
"212491","2"
"163083","3"
"174859","2"
"189196","2"
"208141","2"
"164878","1"
"216335","2"
"143632","4"
"160016","4"
"195088","2"
"54033","2"
"51730","1"
"184082","3"
"186130","2"
"193554","1"
"212755","2"
"200212","4"
"212245","2"
"223765","2"
