CLUBS FROM THE STRONGEST 5 LEAGUES, SORTED BY OVERALL AVERAGE OF THEIR BEST 20 PLAYERS:
[overall, potential, pac, sho, pas, dri, def, phy]
1. Real Madrid CF - [0.8031249999999999, 0.8677083332500001, 0.7366666666499999, 0.68544303815, 0.73732394355, 0.7631944446, 0.6608974357999999, 0.7207692308]
2. Juventus - [0.7958333333000001, 0.8208333333500001, 0.7560000001, 0.6620253164000001, 0.6725352111000001, 0.7444444444499998, 0.68397435895, 0.75999999995]
3. FC Bayern Munich - [0.7958333333, 0.8354166666000002, 0.73133333335, 0.7303797469, 0.72183098575, 0.75486111115, 0.6243589743, 0.71307692315]
4. FC Barcelona - [0.79375000005, 0.8520833333000002, 0.73866666675, 0.7354430378499999, 0.75704225345, 0.7916666666000001, 0.6358974357999999, 0.6799999999999999]
5. Chelsea - [0.7791666666999999, 0.8270833333000001, 0.7513333333, 0.6829113924, 0.6718309859, 0.7430555555499999, 0.64294871795, 0.7523076923]
6. Manchester United - [0.7708333333500001, 0.81770833335, 0.70800000005, 0.6848101265500001, 0.70704225345, 0.7270833333000001, 0.6653846154, 0.7876923077500001]
7. Paris Saint-Germain - [0.76770833335, 0.8291666667000002, 0.7313333334, 0.6930379747000001, 0.7169014083, 0.78263888885, 0.6333333334, 0.7099999999499998]
8. Atletico Madrid - [0.7635416666499999, 0.8218750001, 0.7486666665499999, 0.6943037974500001, 0.69154929565, 0.73888888885, 0.6070512819999999, 0.7076923077]
9. Manchester City - [0.76041666665, 0.828125, 0.7493333333500001, 0.6867088607999999, 0.7105633802, 0.75347222225, 0.6224358974500002, 0.7338461538500001]
10. Arsenal - [0.75312499995, 0.7822916665999999, 0.6760000000999999, 0.6607594937000001, 0.6830985915500001, 0.7173611111500001, 0.6070512819999999, 0.7430769232000001]
11. Tottenham Hotspur - [0.74375, 0.8072916667000001, 0.7379999998999999, 0.69873417725, 0.6894366196500001, 0.7305555554500001, 0.6858974360500001, 0.7715384615499998]
12. Borussia Dortmund - [0.7427083333499999, 0.7916666665500001, 0.74933333335, 0.67974683545, 0.7084507040999999, 0.7569444444500001, 0.6051282051500001, 0.6584615384000001]
13. Liverpool - [0.72395833325, 0.7812499999500001, 0.7753333332999999, 0.6987341771999999, 0.68732394355, 0.7729166665499999, 0.5942307693000001, 0.71692307695]
14. Napoli - [0.7208333332500001, 0.7802083333000001, 0.7480000001500001, 0.59367088605, 0.6309859153999999, 0.6993055555499998, 0.6666666667, 0.67230769235]
15. Roma - [0.71458333325, 0.75416666665, 0.7026666666000001, 0.61708860765, 0.6211267604999999, 0.6861111111000001, 0.6679487179999999, 0.73000000005]
16. Everton - [0.7041666666500002, 0.7479166667999999, 0.6833333334, 0.6512658228499999, 0.6732394366000001, 0.7104166666, 0.6467948718, 0.7453846155000001]
17. Sevilla FC - [0.69895833325, 0.7343749999000001, 0.6086666666499999, 0.6620253164000001, 0.70140845065, 0.6930555555000001, 0.6108974359499999, 0.6999999999500001]
18. Milan - [0.69375, 0.7739583333000001, 0.682, 0.5981012658500001, 0.60492957745, 0.6715277777499999, 0.6576923076999999, 0.71923076925]
19. AS Monaco - [0.6916666665500002, 0.77500000005, 0.6853333334000001, 0.6569620253, 0.6338028168500001, 0.7076388888999999, 0.5865384617, 0.70076923075]
20. Villarreal CF - [0.690625, 0.7416666667, 0.68600000005, 0.6499999999, 0.6415492956999999, 0.68888888895, 0.61410256415, 0.6869230769]
