"ID","Cluster"
"20801","1"
"158023","1"
"190871","1"
"176580","1"
"167495","2"
"188545","1"
"193080","2"
"183277","1"
"182521","1"
"167664","1"
"155862","1"
"192985","1"
"192119","2"
"184941","1"
"177003","1"
"173731","1"
"153079","1"
"138956","3"
"1179","2"
"211110","1"
"200389","2"
"194765","1"
"189509","1"
"188567","1"
"184344","1"
"183907","1"
"182493","3"
"178603","1"
"176635","1"
"167948","2"
"164240","1"
"41236","1"
"9014","1"
"215914","1"
"199556","1"
"195864","1"
"190460","1"
"181872","1"
"179813","1"
"176676","1"
"171877","1"
"168651","1"
"168542","1"
"162835","2"
"152729","1"
"41","1"
"202126","4"
"198710","1"
"197781","1"
"197445","1"
"192505","4"
"191043","1"
"189596","1"
"189511","1"
"189242","1"
"188350","1"
"184087","1"
"179944","1"
"179844","4"
"178518","1"
"177610","1"
"175943","1"
"172879","3"
"168609","3"
"165153","1"
"162895","1"
"156616","1"
"120533","3"
"48940","2"
"208418","1"
"201535","3"
"201153","1"
"200145","1"
"198219","1"
"193747","1"
"193301","1"
"193041","2"
"192883","1"
"192593","2"
"192563","2"
"192448","2"
"190547","3"
"189332","1"
"186942","1"
"184432","1"
"183898","1"
"180206","1"
"173210","1"
"172871","1"
"170890","1"
"167628","2"
"164169","1"
"139720","1"
"137186","3"
"225508","3"
"220834","1"
"218667","1"
"212218","3"
"211117","1"
"208722","1"
"204963","1"
"202166","1"
"201399","4"
"201024","3"
"200316","2"
"192774","3"
"192227","3"
"191740","1"
"191202","1"
"189712","1"
"189505","1"
"189117","2"
"184120","1"
"181458","1"
"180930","4"
"180403","1"
"179846","1"
"179783","2"
"178750","2"
"178088","1"
"177509","3"
"167397","1"
"165229","3"
"164468","3"
"146530","1"
"143076","1"
"106231","1"
"231747","1"
"231443","1"
"220971","1"
"216460","3"
"215316","2"
"213565","1"
"212814","1"
"212190","3"
"210257","2"
"209658","1"
"209499","1"
"209331","1"
"208596","4"
"208448","1"
"207865","3"
"207566","1"
"205600","1"
"204485","1"
"203376","1"
"201942","1"
"200888","1"
"199715","1"
"199482","2"
"198176","3"
"198009","2"
"197061","1"
"193474","1"
"192629","1"
"192387","4"
"192366","3"
"191180","1"
"189513","1"
"189358","1"
"189125","1"
"189068","4"
"188377","1"
"188152","1"
"187936","1"
"186547","3"
"185239","3"
"185020","1"
"184826","1"
"184431","1"
"184144","1"
"181783","1"
"180819","1"
"179784","3"
"178562","1"
"178005","2"
"177683","2"
"177388","1"
"177358","1"
"176769","1"
"173771","1"
"170481","1"
"167905","1"
"163587","2"
"162240","1"
"161956","1"
"159147","1"
"158963","1"
"146748","2"
"146562","1"
"142754","1"
"139869","1"
"139068","1"
"53302","1"
"24630","2"
"20775","1"
"20289","1"
"5479","2"
"230621","2"
"222492","1"
"219809","1"
"219683","1"
"216594","1"
"216451","1"
"215785","1"
"213331","3"
"212404","1"
"212188","1"
"211575","1"
"211300","1"
"208808","1"
"208618","1"
"208421","1"
"207863","3"
"207664","4"
"207471","1"
"207410","1"
"206652","2"
"206545","1"
"205452","3"
"204970","1"
"204639","3"
"204525","1"
"204277","1"
"203551","1"
"203483","1"
"202857","1"
"202652","1"
"202651","1"
"202477","1"
"202335","1"
"201862","1"
"200949","1"
"200104","1"
"199845","1"
"199503","1"
"198164","1"
