"ID","Cluster"
"20801","1"
"158023","1"
"190871","1"
"176580","1"
"167495","2"
"188545","1"
"193080","2"
"183277","1"
"182521","3"
"167664","1"
"155862","3"
"192985","1"
"192119","2"
"184941","1"
"177003","3"
"173731","3"
"153079","1"
"138956","3"
"1179","2"
"211110","1"
"200389","2"
"194765","1"
"189509","3"
"188567","1"
"184344","3"
"183907","3"
"182493","3"
"178603","3"
"176635","1"
"167948","2"
"164240","3"
"41236","1"
"9014","1"
"215914","3"
"199556","3"
"195864","3"
"190460","1"
"181872","3"
"179813","1"
"176676","3"
"171877","3"
"168651","3"
"168542","1"
"162835","2"
"152729","3"
"41","3"
"202126","1"
"198710","1"
"197781","1"
"197445","3"
"192505","1"
"191043","3"
"189596","1"
"189511","3"
"189242","1"
"188350","1"
"184087","3"
"179944","3"
"179844","1"
"178518","3"
"177610","3"
"175943","1"
"172879","3"
"168609","3"
"165153","1"
"162895","3"
"156616","1"
"120533","3"
"48940","2"
"208418","1"
"201535","3"
"201153","1"
"200145","3"
"198219","1"
"193747","3"
"193301","1"
"193041","2"
"192883","3"
"192593","2"
"192563","2"
"192448","2"
"190547","4"
"189332","3"
"186942","3"
"184432","3"
"183898","1"
"180206","3"
"173210","3"
"172871","3"
"170890","3"
"167628","2"
"164169","3"
"139720","3"
"137186","3"
"225508","3"
"220834","1"
"218667","1"
"212218","3"
"211117","3"
"208722","1"
"204963","3"
"202166","1"
"201399","1"
"201024","4"
"200316","2"
"192774","4"
"192227","3"
"191740","3"
"191202","3"
"189712","3"
"189505","1"
"189117","2"
"184120","3"
"181458","1"
"180930","1"
"180403","1"
"179846","3"
"179783","2"
"178750","2"
"178088","1"
"177509","3"
"167397","1"
"165229","3"
"164468","3"
"146530","3"
"143076","1"
"106231","1"
"231747","1"
"231443","1"
"220971","3"
"216460","4"
"215316","2"
"213565","3"
"212814","3"
"212190","4"
"210257","2"
"209658","3"
"209499","3"
"209331","1"
"208596","1"
"208448","1"
"207865","3"
"207566","3"
"205600","3"
"204485","1"
"203376","3"
"201942","1"
"200888","3"
"199715","1"
"199482","2"
"198176","3"
"198009","2"
"197061","3"
"193474","3"
"192629","1"
"192387","1"
"192366","3"
"191180","3"
"189513","3"
"189358","1"
"189125","3"
"189068","1"
"188377","3"
"188152","1"
"187936","3"
"186547","3"
"185239","3"
"185020","1"
"184826","3"
"184431","1"
"184144","1"
"181783","3"
"180819","3"
"179784","3"
"178562","3"
"178005","2"
"177683","2"
"177388","1"
"177358","3"
"176769","1"
"173771","3"
"170481","3"
"167905","3"
"163587","2"
"162240","3"
"161956","3"
"159147","3"
"158963","3"
"146748","2"
"146562","3"
"142754","3"
"139869","1"
"139068","1"
"53302","3"
"24630","2"
"20775","1"
"20289","3"
"5479","2"
"230621","2"
"222492","1"
"219809","3"
"219683","3"
"216594","1"
"216451","3"
"215785","1"
"213331","3"
"212404","1"
"212188","1"
"211575","3"
"211300","1"
"208808","1"
"208618","1"
"208421","3"
"207863","3"
"207664","1"
"207471","1"
"207410","3"
"206652","2"
"206545","3"
"205452","3"
"204970","1"
"204639","4"
"204525","3"
"204277","3"
"203551","3"
"203483","3"
"202857","1"
"202652","1"
"202651","1"
"202477","1"
"202335","3"
"201862","3"
"200949","1"
"200104","1"
"199845","3"
"199503","3"
"198164","3"
